course_id,course,wbl,level,department,field,frontend_label,semesters,description,career
UZ0520001,ASASI KEJURUTERAAN DAN TEKNOLOGI,0,Asasi,Kejuruteraan,Kejuruteraan,Mekanikal & Automotif,2,,
UM0221001,ASASI PENGAJIAN ISLAM DAN SAINS,0,Asasi,Sains,Sains,Pertanian & Bio-Industri,2,,
UZ0345001,ASASI PENGURUSAN DAN STRATEGI,0,Asasi,Pengurusan,Pengurusan Dan Strategi,Perniagaan & Perdagangan,2,,
UZ0721001,ASASI PERUBATAN,0,Asasi,Kesihatan,Perubatan,Pertanian & Bio-Industri,2,,
UL0010001,ASASI SAINS,0,Asasi,Sains,Sains,Pertanian & Bio-Industri,2,,
UP0000001,ASASI SAINS PERTANIAN,0,Asasi,Pertanian Dan Bio-Industri,Pertanian,Pertanian & Bio-Industri,2,,
UL0010002,ASASI SAINS SOSIAL,0,Asasi,Sains,Sains Sosial,Perniagaan & Perdagangan,2,,
UG0010001,ASASI STEM,0,Asasi,STEM,STEM,"Komputer, IT & Multimedia",3,,
UK0010001,ASASIPINTAR UKM #,0,Asasi,Umum,Umum,Perniagaan & Perdagangan,2,,
UA4222001,DIPLOMA BAHASA ETNIK Baru #,0,Diploma,Bahasa Dan Komunikasi,Bahasa,Seni Reka & Kreatif,6,,
UA4224001,DIPLOMA BAHASA INGGERIS #,0,Diploma,Bahasa Dan Komunikasi,Bahasa Inggeris,Seni Reka & Kreatif,6,,
UC4340001,DIPLOMA E-COMMERCE Baru,0,Diploma,Perniagaan Dan Pengurusan,E-Commerce,Perniagaan & Perdagangan,6,,
UD4726001,DIPLOMA FISIOTERAPI,0,Diploma,Kesihatan,Fisioterapi,Pertanian & Bio-Industri,6,,
UZ4813001,DIPLOMA KECERGASAN PERTAHANAN #,0,Diploma,Keselamatan Dan Pertahanan,Kecergasan Pertahanan,"Sivil, Seni Bina & Pembinaan",5,,
UR4851001,DIPLOMA KEJURUTERAAN ALAM SEKITAR Baru,0,Diploma,Kejuruteraan,Kejuruteraan Alam Sekitar,"Sivil, Seni Bina & Pembinaan",5,,
UB4526001,DIPLOMA KEJURUTERAAN AWAM,0,Diploma,Kejuruteraan,Kejuruteraan Awam,"Sivil, Seni Bina & Pembinaan",5,,
UJ4526001,DIPLOMA KEJURUTERAAN AWAM,0,Diploma,Kejuruteraan,Kejuruteraan Awam,"Sivil, Seni Bina & Pembinaan",5,,
UR4521002,DIPLOMA KEJURUTERAAN BAHAN,0,Diploma,Kejuruteraan,Kejuruteraan Bahan,Mekanikal & Automotif,6,,
UB4522001,DIPLOMA KEJURUTERAAN ELEKTRIK,0,Diploma,Kejuruteraan,Kejuruteraan Elektrik,Elektrik & Elektronik,5,,
UC4522001,DIPLOMA KEJURUTERAAN ELEKTRIK,0,Diploma,Kejuruteraan,Kejuruteraan Elektrik,Elektrik & Elektronik,6,,
UR4522001,DIPLOMA KEJURUTERAAN ELEKTRIK,0,Diploma,Kejuruteraan,Kejuruteraan Elektrik,Elektrik & Elektronik,6,,
UJ4523001,DIPLOMA KEJURUTERAAN ELEKTRIK DAN ELEKTRONIK,0,Diploma,Kejuruteraan,Kejuruteraan Elektrik Dan Elektronik,Elektrik & Elektronik,5,,
UC4523001,DIPLOMA KEJURUTERAAN ELEKTRONIK,0,Diploma,Kejuruteraan,Kejuruteraan Elektronik,Elektrik & Elektronik,6,,
UR4523003,DIPLOMA KEJURUTERAAN ELEKTRONIK,0,Diploma,Kejuruteraan,Kejuruteraan Elektronik,Elektrik & Elektronik,6,,
UJ4524001,DIPLOMA KEJURUTERAAN KIMIA,0,Diploma,Kejuruteraan,Kejuruteraan Kimia,Pertanian & Bio-Industri,5,,
UH4520001,DIPLOMA KEJURUTERAAN KIMIA (MINYAK DAN GAS),0,Diploma,Kejuruteraan,Kejuruteraan Kimia (Minyak Dan Gas),"Aero, Marin, Minyak & Gas",6,,
UR4523002,DIPLOMA KEJURUTERAAN KOMPUTER,0,Diploma,Kejuruteraan,Kejuruteraan Komputer,"Komputer, IT & Multimedia",6,,
UB4521002,DIPLOMA KEJURUTERAAN MEKANIKAL,0,Diploma,Kejuruteraan,Kejuruteraan Mekanikal,Mekanikal & Automotif,5,,
UC4521001,DIPLOMA KEJURUTERAAN MEKANIKAL,0,Diploma,Kejuruteraan,Kejuruteraan Mekanikal,Mekanikal & Automotif,6,,
UJ4521001,DIPLOMA KEJURUTERAAN MEKANIKAL,0,Diploma,Kejuruteraan,Kejuruteraan Mekanikal,Mekanikal & Automotif,5,,
UR4523001,DIPLOMA KEJURUTERAAN MEKATRONIK,0,Diploma,Kejuruteraan,Kejuruteraan Mekatronik,Mekanikal & Automotif,6,,
UC4540001,DIPLOMA KEJURUTERAAN PEMBUATAN,0,Diploma,Kejuruteraan,Kejuruteraan Pembuatan,Mekanikal & Automotif,6,,
UR4540001,DIPLOMA KEJURUTERAAN PEMBUATAN,0,Diploma,Kejuruteraan,Kejuruteraan Pembuatan,Mekanikal & Automotif,6,,
UP4524001,"DIPLOMA KEJURUTERAAN TEKNOLOGI PERTANIAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Kejuruteraan,Kejuruteraan Teknologi Pertanian,Pertanian & Bio-Industri,6,,
UJ4862001,DIPLOMA KESELAMATAN DAN KESIHATAN PEKERJAAN,0,Diploma,Kesihatan,Kesihatan,Pertanian & Bio-Industri,5,,
UP4640001,"DIPLOMA KESIHATAN HAIWAN DAN PETERNAKAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Pertanian Dan Bio-Industri,Kesihatan Haiwan Dan Peternakan,Pertanian & Bio-Industri,6,,
UA4345001,DIPLOMA KEUSAHAWANAN,0,Diploma,Perniagaan Dan Pengurusan,Keusahawanan,Perniagaan & Perdagangan,6,,
UD4343002,DIPLOMA KEWANGAN,0,Diploma,Perniagaan Dan Pengurusan,Kewangan,Perniagaan & Perdagangan,5,,
UA4212001,DIPLOMA MUZIK #,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,7,,
UD4342001,DIPLOMA PEMASARAN,0,Diploma,Perniagaan Dan Pengurusan,Perniagaan,Perniagaan & Perdagangan,5,,
UP4310001,"DIPLOMA PEMBANGUNAN MANUSIA (KAMPUS BINTULU, SARAWAK)",0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UA4143001,DIPLOMA PENDIDIKAN AWAL KANAK-KANAK #,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,6,,
UD4343001,DIPLOMA PENGAJIAN BANK,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UD4343003,DIPLOMA PENGAJIAN INSURANS,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UA4220001,DIPLOMA PENGAJIAN TURATH ISLAMI #,0,Diploma,Pengajian Islam,Pengajian Islam,Seni Reka & Kreatif,6,,
UZ4345001,DIPLOMA PENGURUSAN LOGISTIK,0,Diploma,Pengurusan,Pengurusan,Perniagaan & Perdagangan,5,,
UP4621002,"DIPLOMA PENGURUSAN PERLADANGAN MAKANAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Pengurusan,Pengurusan,Perniagaan & Perdagangan,4,,
UP4345001,"DIPLOMA PENGURUSAN PERNIAGAAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Perniagaan Dan Pengurusan,Perniagaan,Perniagaan & Perdagangan,2,,
UD4345001,DIPLOMA PENGURUSAN SUMBER MANUSIA,0,Diploma,Pengurusan,Pengurusan,Perniagaan & Perdagangan,5,,
UZ4340001,DIPLOMA PENTADBIRAN PERNIAGAAN,0,Diploma,Perniagaan Dan Pengurusan,Perniagaan,Perniagaan & Perdagangan,5,,
UD4344001,DIPLOMA PERAKAUNAN,0,Diploma,Perniagaan Dan Pengurusan,Perakaunan,Perniagaan & Perdagangan,5,,
UP4623001,"DIPLOMA PERHUTANAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Umum,Umum,Perniagaan & Perdagangan,4,,
UG4624001,DIPLOMA PERIKANAN,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,4,,
UP4624001,"DIPLOMA PERIKANAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Umum,Umum,Perniagaan & Perdagangan,4,,
UD4340001,DIPLOMA PERNIAGAAN ANTARABANGSA,0,Diploma,Perniagaan Dan Pengurusan,Perniagaan,Perniagaan & Perdagangan,4,,
UP4621001,"DIPLOMA PERNIAGAANTANI (KAMPUS BINTULU, SARAWAK)",0,Diploma,Perniagaan Dan Pengurusan,Perniagaan,Perniagaan & Perdagangan,6,,
UP4621003,"DIPLOMA PERTANIAN (KAMPUS BINTULU, SARAWAK)",0,Diploma,Pertanian Dan Bio-Industri,Pertanian,Pertanian & Bio-Industri,4,,
UD4725001,DIPLOMA RADIOGRAFI,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,6,,
UA4481002,DIPLOMA REKA BENTUK DAN PEMBANGUNAN PERMAINAN #,0,Diploma,Seni Dan Reka Bentuk,Seni Reka,Seni Reka & Kreatif,6,,
UD4214001,DIPLOMA REKABENTUK PERINDUSTRIAN #,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UA4440001,DIPLOMA SAINS,0,Diploma,Sains,Sains,Pertanian & Bio-Industri,6,,
UA4461001,DIPLOMA SAINS (MATEMATIK),0,Diploma,Sains,Sains,Pertanian & Bio-Industri,6,,
UB4545001,DIPLOMA SAINS GUNAAN,0,Diploma,Sains,Sains,Pertanian & Bio-Industri,5,,
UJ4545001,DIPLOMA SAINS INDUSTRI,0,Diploma,Sains,Sains,Pertanian & Bio-Industri,4,,
UD4723001,DIPLOMA SAINS KEJURURAWATAN,0,Diploma,Sains,Sains,Pertanian & Bio-Industri,6,,
UA4481001,DIPLOMA SAINS KOMPUTER,0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",6,,
UC4481002,DIPLOMA SAINS KOMPUTER,0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",5,,
UD4481003,DIPLOMA SAINS KOMPUTER,0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",6,,
UJ4481001,DIPLOMA SAINS KOMPUTER,0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",5,,
UP4481001,"DIPLOMA SAINS KOMPUTER (KAMPUS BINTULU, SARAWAK)",0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",5,,
UA4813001,DIPLOMA SAINS SUKAN DAN KEJURULATIHAN #,0,Diploma,Sains,Sains,Pertanian & Bio-Industri,6,,
UZ4221001,DIPLOMA TAHFIZ DAN TAFSIR AL-QURAN #,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UA4212002,DIPLOMA TARI #,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,6,,
UA4212003,DIPLOMA TEATER #,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,6,,
UB4213001,DIPLOMA TEKNOLOGI ANIMASI,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UB4524001,DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA,0,Diploma,Kejuruteraan,Kejuruteraan Kimia,Pertanian & Bio-Industri,5,,
UR4524001,DIPLOMA TEKNOLOGI KEJURUTERAAN KIMIA Baru,0,Diploma,Kejuruteraan,Kejuruteraan Kimia,Pertanian & Bio-Industri,5,,
UR4521003,DIPLOMA TEKNOLOGI KEJURUTERAAN MEKANIKAL,0,Diploma,Kejuruteraan,Kejuruteraan Mekanikal,Mekanikal & Automotif,6,,
UJ4521002,DIPLOMA TEKNOLOGI KEJURUTERAAN PEMBUATAN,0,Diploma,Kejuruteraan,Kejuruteraan Pembuatan,Mekanikal & Automotif,5,,
UR4543001,DIPLOMA TEKNOLOGI KEJURUTERAAN POLIMER Baru,0,Diploma,Kejuruteraan,Kejuruteraan,Mekanikal & Automotif,5,,
UD4482001,DIPLOMA TEKNOLOGI MAKLUMAT,0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",6,,
UB4481001,DIPLOMA TEKNOLOGI MAKLUMAT,0,Diploma,Teknologi Maklumat,Teknologi Maklumat,"Komputer, IT & Multimedia",5,,
UA4545001,DIPLOMA TEKNOLOGI MAKMAL,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,6,,
UD4725002,DIPLOMA TEKNOLOGI MAKMAL PERUBATAN,0,Diploma,Kesihatan,Perubatan,Pertanian & Bio-Industri,6,,
UD4540001,DIPLOMA TEKNOLOGI PEMBUATAN,0,Diploma,Umum,Umum,Perniagaan & Perdagangan,5,,
UU0345001,PROGRAM ASASI PENGURUSAN,0,Diploma,Pengurusan,Pengurusan,Perniagaan & Perdagangan,3,,
UQ0440005,TAMHIDI SAINS FIZIKAL DAN TEKNOLOGI,0,Diploma,Sains,Sains,Pertanian & Bio-Industri,2,,
